keyword,full_name,short_name,eBay friendly name,eBay Affiliate Friendly,Pink Villa Friendly Name,Wikipedia Friendly Name,admob_pub_id,Background Image,news_feed_1,news_feed_2,news_feed_3,buzz_feed_1,buzz_feed_2,photos_feed,videos_feed,twitter_feeds,facebook_feed,website_category_1,website_name_1,website_url_1,website_category_2,website_name_2,website_url_2,website_category_3,website_name_3,website_url_3,website_category_4,website_name_4,website_url_4,website_category_5,website_name_5,website_url_5,ical_feed from eventful.com,eBay shopping_title1,eBay shopping_url1,shopping_affiliate Link 1,shopping_title2,shopping_url2,shopping_cat3,shopping_title3,shopping_url3,shopping_cat4,shopping_title4,shopping_url4,shopping_cat5,shopping_title5,shopping_url5,shopping_cat6,shopping_title6,shopping_url6,market_category,market_promo_80,Android Market Link,API CALL,bit.ly - Android,QRcode - Android,iPhone Store Link,API CALL,bit.ly - iPhone,QRcode - iPhone,IM Page Link,API CALL,bit.ly - IM,QRcode - IM,market_identifier,category,short_name-old,appID
Bollywood Top50 Female Stars,Amrita Rao,amritarao,Amrita+Rao,Amrita%2BRao,Amrita-Rao,Amrita_Rao,,http://www.webindia123.com/personality/women/amrita_rao/amritarao.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Amrita+Rao,,,http://www.pinkvilla.com/category/entertainmenttags/Amrita-Rao/feed,,http://feed.photobucket.com/images/amrita+rao+photo/feed.rss,,Amritaraotweetz,https://www.facebook.com/feeds/page.php?id=14174011829&format=atom10,Official Website,Amrita Rao,http://www.amrita-rao.com/,Unofficial Fan Site,Amrita Rao Online,http://amritarao.hollywood.com/,Wikipedia,Amrita Rao on Wikipedia,http://en.m.wikipedia.org/wiki/Amrita_Rao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.amritarao,bollywood,amritarao,120010
Bollywood Top50 Female Stars,Amrita Thapar,amritathapar,Amrita+Thapar,Amrita%2BThapar,Amrita-Thapar,Amrita_Thapar,,http://www.webindia123.com/personality/women/amrita_thapar/amritat.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Amrita+Thapar,,,http://www.pinkvilla.com/category/entertainmenttags/Amrita-Thapar/feed,,http://feed.photobucket.com/images/sameera-reddy/feed.rss,,,,Official Website,,,Unofficial Fan Site,,,Wikipedia,Amrita Thapar on Wikipedia,http://en.m.wikipedia.org/wiki/Amrita_Thapar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.amritathapar,bollywood,amritathapar,120011
Bollywood Top50 Female Stars,Anchal Kumar,anchalkumar,Anchal+Kumar,Anchal%2BKumar,Anchal-Kumar,Anchal_Kumar,,http://www.webindia123.com/personality/women/anchal_kumar/anchal.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Anchal+Kumar,,,http://www.pinkvilla.com/category/entertainmenttags/Anchal-Kumar/feed,,,,anchalk,https://www.facebook.com/feeds/page.php?id=132085390176792&format=atom10,Official Website,,,Unofficial Fan Site,,,Wikipedia,Anchal Kumar on Wikipedia,http://en.m.wikipedia.org/wiki/Anchal_Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.anchalkumar,bollywood,anchalkumar,120012
Bollywood Top50 Male Stars,Apoorva Agnihotri,apoorvaagnihotri,Apoorva+Agnihotri,Apoorva%2BAgnihotri,Apoorva-Agnihotri,Apoorva_Agnihotri,,http://www.webindia123.com/personality/men/apoorva_agnihotri/apoorva.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Apoorva+Agnihotri,,,http://www.pinkvilla.com/category/entertainmenttags/Apoorva-Agnihotri/feed,,,,,,Official Website,,,Unofficial Fan Site,,,Wikipedia,Apoorva Agnihotri on Wikipedia,http://en.m.wikipedia.org/wiki/Apoorva_Agnihotri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.apoorvaagnihotri,bollywood,apoorva,120013
Bollywood Top50 Male Stars,Arjun Rampal,arjunrampal,Arjun+Rampal,Arjun%2BRampal,Arjun-Rampal,Arjun_Rampal,,http://www.webindia123.com/personality/men/arjun_rampal/arjun.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Arjun+Rampal,,,http://www.pinkvilla.com/category/entertainmenttags/Arjun-Rampal/feed,,http://feed.photobucket.com/images/arjun+rampal/feed.rss,http://rss.starpulse.com/rss/topic.videos.rss.php?topic_path=Actors/Rampal%2C_Arjun/&topic_name=Arjun+Rampal,rampalarjun,https://www.facebook.com/feeds/page.php?id=155508794461359&format=atom10,Official Website,,,Unofficial Fan Site,Arjun Rampal Online,http://www.arjunrampal.org/,Wikipedia,Arjun Rampal on Wikipedia,http://en.m.wikipedia.org/wiki/Arjun_Rampal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.arjunrampal,bollywood,arjunrampal,120014
Bollywood Top50 Male Stars,Ashmit Patel,ashmitpatel,Ashmit+Patel,Ashmit%2BPatel,Ashmit-Patel,Ashmit_Patel,,http://www.webindia123.com/personality/men/ashmit_patel/ashmit.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Ashmit+Patel,,,http://www.pinkvilla.com/category/entertainmenttags/Ashmit-Patel/feed,,http://feed.photobucket.com/images/ashmit+patel/feed.rss,,AshmitPatel,https://www.facebook.com/feeds/page.php?id=120208044702174&format=atom10,Official Website,,,Unofficial Fan Site,,,Wikipedia,Ashmit Patel on Wikipedia,http://en.m.wikipedia.org/wiki/Ashmit_Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.ashmitpatel,bollywood,ashmitpatel,120015
Bollywood Top50 Female Stars,Asin,asin,Asin,Asin,Asin,Asin,,http://www.webindia123.com/personality/women/asin/asin.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Asin,,,http://www.pinkvilla.com/category/entertainmenttags/Asin/feed,,http://feed.photobucket.com/images/asin+photos/feed.rss,,asin_thottumkal,https://www.facebook.com/feeds/page.php?id=52071964554&format=atom10,Official Website,Asin Online,http://www.asinonline.com/,Unofficial Fan Site,Asin Fan Club,http://www.myasin.com/,Wikipedia,Asin on Wikipedia,http://en.m.wikipedia.org/wiki/Asin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.asin,bollywood,asin,120016
Bollywood Top50 Female Stars,Ayesha Takia,ayeshatakia,Ayesha+Takia,Ayesha%2BTakia,Ayesha-Takia,Ayesha_Takia,,http://www.webindia123.com/personality/women/ayesha_takia/ayesha.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Ayesha+Takia,,,http://www.pinkvilla.com/category/entertainmenttags/Ayesha-Takia/feed,,http://feed.photobucket.com/images/ayesha+takia/feed.rss,,Ayeshatakia,https://www.facebook.com/feeds/page.php?id=99600397565&format=atom10,Official Website,,,Unofficial Fan Site,Ayesha Takia Fansite,http://www.ayeshatakiapics.com/,Wikipedia,Ayesha Takia on Wikipedia,http://en.m.wikipedia.org/wiki/Ayesha_Takia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.ayeshatakia,bollywood,ayeshatakia,120017
Bollywood Top50 Female Stars,Bhoomika Chawla,bhoomikachawla,Bhoomika+Chawla,Bhoomika%2BChawla,Bhoomika-Chawla,Bhoomika_Chawla,,http://www.webindia123.com/personality/women/bhoomika_chawla/bhoomika.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Bhoomika+Chawla,,,http://www.pinkvilla.com/category/entertainmenttags/Bhoomika-Chawla/feed,,http://feed.photobucket.com/images/bhoomika+chawla/feed.rss,,,http://www.facebook.com/feeds/page.php?id=207535495868&format=atom10,Official Website,Bhumika Chawla,http://www.bhumikachawla.info/,Unofficial Fan Site,Bhumika Chawla Facebook Fan Page,www.facebook.com/pages/Bhumika-Chawla-Fan-Page.../211011015597694,Wikipedia,Bhoomika Chawla on Wikipedia,http://en.m.wikipedia.org/wiki/Bhoomika_Chawla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.bhoomikachawla,bollywood,bhoomika,120018
Bollywood Top50 Female Stars,Bipasha Basu,bipashabasu,Bipasha+Basu,Bipasha%2BBasu,Bipasha-Basu,Bipasha_Basu,,http://www.webindia123.com/personality/women/bipasha_basu/bipasha.jpg,http://news.search.yahoo.com/rss?ei=UTF-8&p=Bipasha+Basu,,,http://www.pinkvilla.com/category/entertainmenttags/Bipasha-Basu/feed,,http://feed.photobucket.com/images/bipasha+basu/feed.rss,http://rss.starpulse.com/rss/topic.videos.rss.php?topic_path=Actresses/Basu%2C_Bipasha/&topic_name=Bipasha+Basu,bipsluvurself ,https://www.facebook.com/feeds/page.php?id=160615060616162&format=atom10,Official Website,Bipasha Basu,http://www.bipashabasunet.com/,Unofficial Fan Site,Bipasha Basu Fansite,http://www.bipashabasu.ws/,Wikipedia,Bipasha Basu on Wikipedia,http://en.m.wikipedia.org/wiki/Bipasha_Basu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.im.bollywood.bipashabasu,bollywood,bipashabasu,120019
